"anly_mapped_zipcode","collection_to_report","collection_to_report","collection_to_report","collection_to_report","collection_to_report_less_than_1","collection_to_report_less_than_1"
"00001",0.18181818181818182,0,0,0,21,22
"00003",0.5588235294117647,0,0,1,61,68
"00353",0,0,0,0,1,1
"00612",7,7,7,7,0,1
"00617",4,4,4,4,0,1
"00739",6,6,6,6,0,1
"00751",1,1,1,1,2,2
"00794",7,7,7,7,0,1
"00801",0,0,0,0,1,1
"00820",0.6666666666666666,1,0,1,3,3
"00841",1,1,1,1,2,2
"00925",2,2,2,2,0,1
"00987",0,0,0,0,2,2
"01002",2,2,2,2,0,2
"01013",1,1,1,1,1,1
"01028",1,1,1,1,1,1
"01036",1,1,1,1,1,1
"01060",0,0,0,0,1,1
"01089",1,1,1,1,1,1
"01106",2,2,2,2,0,2
"01107",1,1,1,1,6,6
"01109",1,1,1,1,1,1
"01253",1,1,1,1,1,1
"01331",0,0,0,0,1,1
"01436",3,3,3,3,0,1
"01450",0,0,0,0,2,2
"01501",3,3,3,3,0,1
"01527",4,4,4,4,0,2
"01540",1,1,1,1,1,1
"01541",0,0,0,0,1,1
"01545",2.5,2,2,3,0,2
"01569",2,2,2,2,0,1
"01581",1,1,1,1,2,2
"01609",4,4,4,4,0,2
"01720",0.5,0,0,1,2,2
"01741",1,1,1,1,3,3
"01742",3,2,2,4,0,2
"01745",2,2,2,2,0,1
"01752",1,1,1,1,1,1
"01760",1,1,1,1,8,8
"01772",0,0,0,0,1,1
"01776",1.5,1,1,2,1,2
"01778",3,2,2,4,0,2
"01845",1,1,1,1,2,2
"01852",1,1,1,1,1,1
"01867",1,1,1,1,1,1
"01880",0,0,0,0,1,1
"01890",0.16666666666666666,0,0,0,6,6
"01907",3,3,3,3,0,1
"01921",1,1,1,1,1,1
"01940",0,0,0,0,1,1
"01945",1,1,1,1,1,1
"01949",1,1,1,1,1,1
"01970",6,6,6,6,0,2
"01983",4.333333333333333,5,2,6,0,3
"02002",1,1,1,1,2,2
"02021",2,2,2,2,0,1
"02035",0,0,0,0,1,1
"02043",1.5,1,1,2,1,2
"02045",1,1,1,1,1,1
"02048",5,5,5,5,0,1
"02050",1,1,1,1,1,1
"02056",2.5,2,2,3,0,2
"02061",0.8,1,1,1,15,15
"02062",4,4,4,4,0,1
"02066",1.2222222222222223,1,1,2,6,9
"02101",0,0,0,0,1,1
"02108",1,1,1,1,1,1
"02114",4,4,4,4,0,2
"02115",3,0,0,6,1,2
"02116",0.75,1,0,1,4,4
"02118",1.2727272727272727,2,0,2,4,11
"02120",5,5,5,5,0,1
"02122",1,1,1,1,1,1
"02124",1,1,1,1,1,1
"02129",2.5,3,1,3,1,4
"02130",0,0,0,0,3,3
"02134",1,1,1,1,1,1
"02135",0,0,0,0,1,1
"02138",1,1,1,1,1,1
"02144",1,1,1,1,1,1
"02155",2,2,2,2,0,1
"02186",6,6,6,6,0,1
"02188",1,1,1,1,1,1
"02215",3,2,2,4,0,2
"02269",1,1,1,1,1,1
"02324",1,1,1,1,1,1
"02332",0.5,0,0,1,8,8
"02382",0.42857142857142855,0,0,1,7,7
"02446",2.6,1,1,5,6,10
"02451",0.5,0,0,1,2,2
"02459",0.6,1,0,1,10,10
"02461",1,1,1,1,1,1
"02464",2,2,2,2,0,1
"02465",0.4,0,0,1,5,5
"02467",2,2,2,2,0,1
"02472",1,1,1,1,2,2
"02478",0,0,0,0,1,1
"02481",0,0,0,0,1,1
"02482",2,2,2,2,0,1
"02492",0,0,0,0,1,1
"02493",0.3333333333333333,0,0,1,3,3
"02535",2,2,2,2,0,1
"02564",0,0,0,0,1,1
"02576",1,1,1,1,1,1
"02633",0.5,0,0,1,2,2
"02653",1,1,1,1,1,1
"02703",2,2,2,2,0,1
"02740",2,2,2,2,0,1
"02746",1,1,1,1,3,3
"02760",0,0,0,0,2,2
"02806",1,1,1,1,2,2
"02840",3,3,3,3,0,1
"02842",4,4,4,4,0,1
"02882",0,0,0,0,1,1
"02888",0,0,0,0,1,1
"02904",1.6666666666666667,2,0,3,1,3
"02905",0,0,0,0,2,2
"02915",1,1,1,1,1,1
"02916",2.3333333333333335,1,0,6,2,3
"03045",3,3,3,3,0,1
"03046",1,1,1,1,1,1
"03053",0,0,0,0,1,1
"03054",5,5,5,5,0,1
"03062",1,1,0,1,4,5
"03063",2,2,2,2,0,1
"03079",2.5,3,1,3,1,4
"03103",1,1,1,1,1,1
"03110",4,4,4,4,0,1
